,Unnamed: 0,reviews,polarity,tag
0,0,singapore heathrow business class a380800 premium economy plus experience economy class sized toilets badly designed coffin shaped business class pods experience substandard business class experience business class pod ’ storage small drawer foot pod ‘ privacy ’ screens opaque plastic sheets kept awake neighbour screen lights pod seat made coffin shaped bed cold hard plastic seat moulds unpleasant surprise turn sleep choice neighbour step calfheight footrest hopefully brushing feet step neighbours feetfootrest footrest heavenforbid try lever comfortable position slightest pressure causes footrest collapse floor level position aisle seat open aisle kiss goodbye privacy view passengers crew lean serve neighbour food talk neighbour privacy screen,-0.29880952380952375,Negative
1,1,reported damagedruined suitcase 5 weeks ago im still awaiting reply ill think twice booking ba customer service shocking say least ive followed british airways least 3 emails per week requesting update joy far,-0.17142857142857143,Negative
2,2,march 1st flew berlin são paulo ba encountered several issues first flight delayed several hours causing miss connection london heathrow upon arriving airport midnight given hotel voucher however hotel designated ba rudely denied checkin claiming fully booked return heathrow 1 found different hotel paying taxi pocket result complications arrived são paulo 24 hours late despite efforts assert rights seek reimbursement taxi bas customer service extremely poor phone lines nonfunctional emails answered automatically appropriate channels requests responsive since first week march experience left extremely disappointed especially considering high standard service associated ba,-0.04214285714285714,Negative
3,3,worst customer experience british airways ba effectively robbing people help show compassion partner fell ill doctor ’ note stating couldnt fly ba said theyd hold flight amount voucher valid year fair enough caveat stated us must call usable holiday packages however using voucher nightmare cant use tickets original longhaul refuse refund half amount bas customer service awful rude effectively stealing £400 us policy must stop feel held hostage solution,0.009027777777777779,Positive
4,4,cancel flight months advance due change schedule flying american airlines british airways selected seats attempted get refund selected seats aa refunded issue ba refused despite companies similar policies avoid fly anyone else customer service joke taking 2 weeks respond email giving justification told phone,0.135,Positive
5,5,flight cancelled reason given less 24 h departure earliest offered replacement terrible use app 3 days later unacceptable phone lines work would reject call due overwhelmed even submitting claim website frustrating due terrible interface overall terrible company wholly inadequate customer service,-0.4240740740740741,Negative
6,6,route fly regularly used first class security lounge good lounge surprisingly busy great see werent departing dreaded a10 bus gate flight time boarded ready go time six passengers show 50 minute delay offload bags depart longer actual flight better process fast tracking hence finally arrived paris 45 mins late plus side cabin crew great even personal welcome inflight manager happens less less days,0.2656862745098039,Positive
7,7,ba may made positive improvements club world product world traveler product catering leaves much desired first meal service slow 3 hours serve meal portions incredibly small chicken dish contained maybe 5 pieces chicken 2 pieces broccoli piece unknown food small snacks available flight real let snack landing vancouver bizarre tasting chicken pastry wrap didnt much chicken taste like pastry sweet mushy salty seats although exactly spacious tolerable although aisles narrow cabin crew passengers frequently bumped walking aisles cabin crew generally responsive passengers request twice flight came aisles drinks however poor level catering made frustrating trip certainly recommend ba,-0.07538370720188901,Negative
8,8,british airways new club suite marked improvement older club world seats new club suite offers fair amount privacy especially screen door closed includes direct aisle access fully reclined seat converts fairly spacious bed although found surface side bit hard uncomfortable sleep catering board fairly good tasty appetizers main course generally well cooked although cabin crew slow meal service took almost 3 hours departure vancouver meal service completed prior arrival light breakfast served contained croissant small egg bacon sandwich mango puree bas catering flight generally good unfortunately upon arrival heathrow passengers wait 90 minutes checked baggage arrive explanation given single member ground staff came assist passengers provide information checked baggage would arrive frustrating end otherwise fairly enjoyable trip club world left poor last impression ba,0.06582019171304884,Positive
9,9,four pleasant time flights friendly helpful staff guy lhrsfo leg exceptional regret forgotten name negative food sfolhr leg advertised filet steak akin stewing steak inedible sadly occasion food usuk flights sub standard otherwise happy recommend ba,0.25357142857142856,Positive
10,10,travel extensively 25 years tend use ba regular trips possible recent years overall good service however recently experienced flight delays operational issues flight cancellations poor checkin experiences etc last two recent trips one zurich another iceland cancelled return flight hour prior scheduled departure time despite flight showing time problems reported returned iceland experience one worst ever ba flight cancelled due operational reasons made matters worse occasion flight quite early 745am went bed around 11pm night checked flight showed time issues reported went sleep fairly rest assured flight would fine woke 530am discovered flight cancelled without warning left virtually return flight options day soon got worse earliest flight option offered ba 3 days later opted choose tuesday ba left option hadnt acted quickly tuesday availability sure sell leaving us return option wednesday onwards experienced problem ba zurich back december lucky occasion ba offered several flights back day zurich wasnt case iceland left right predicament hotel availability iceland limited non existent given short notice cancelled flight hotel fully booked hire car returned airport logistical point view complete nightmare rebook another hire car find alternative hotels decided search indirect flights online get us back uk sooner another airline good half hour searching came across indirect flight gatwick norwegian air went via oslo total journey time 8 hours ideal car heathrow assessing options virtually none guarantees flight ba tuesday would also proceeded time checking norwegian air flights time looked promising decided get booked additional expense £600 stayed iceland would also incurred additional cost fight back ba insurance company priority return home asap important work personal commitments monday return asap eventually flew back fine norwegian air service received far superior ba boarding process slick flights compared complete shambles ba norwegian air offered full food trolley service soft drinks teas also range alcoholic drinks compare water snack bar ba flights time eventually landed gatwick shortly expected arrival time got back late home book hire car gatwick morning contacted ba cancel alternative tuesday flight,0.09607963875205255,Positive
11,11,flight delayed hour due bad weather around jfk however made flight delayed weather lhr spending extra hour americanba lounge jfk ideal cold environment cold staff indifferent travellers needs one area exceptionally dirty plates tables napkins strewn floor waited drink one serve played game find chipscrisps hidden table dark corner one 3 areas crazy expensive route business class feels like rip across airlines however quality bas business class much improved introduction suites privacy big improvement seat comfort managed good 3hr sleep overnight redeye flight food service efficient wanted trick late night aside getting decent rest relatively short flight highlight flight attendant unfortunately didnt catch name superb responsive requests made remembered name throughout flight small valued touch often missing business class flight attendants ba good experience round except price reflected value money rating,-0.08099999999999996,Negative
12,12,full flight made premium economy feel little less premium expect price however smaller cabin configuration slightly roomier seating made journey relaxing enough catering pretty good inflight service efficient friendly arrived time delays baggage delivery complaints pe served function relatively short 75hr flight,0.11541666666666665,Positive
